time,ax,ay,az,atotal
2021-03-04 17:30:36.1220,0.17,0.05,-0.2,0.26
2021-03-04 17:30:36.1320,0.2,0.03,-0.19,0.27
2021-03-04 17:30:36.1420,0.24,0.02,-0.12,0.26
2021-03-04 17:30:36.1530,0.27,0.05,-0.07,0.28
2021-03-04 17:30:36.1630,0.28,0.07,-0.01,0.28
2021-03-04 17:30:36.1820,0.3,0.08,0.05,0.31
2021-03-04 17:30:36.1840,0.31,0.11,0.11,0.34
2021-03-04 17:30:36.1920,0.3,0.09,0.14,0.34
2021-03-04 17:30:36.2020,0.27,0.04,0.16,0.31
2021-03-04 17:30:36.2120,0.23,-0.06,0.16,0.28
