time,ax,ay,az
2021-03-04 17:29:06.5400,0.01,0.03,-0.08
2021-03-04 17:29:06.5480,0.01,-0.01,-0.08
2021-03-04 17:29:06.5590,-0.01,0,-0.08
2021-03-04 17:29:06.5780,-0.06,0.03,-0.06
2021-03-04 17:29:06.5800,-0.08,0.07,-0.05
2021-03-04 17:29:06.5880,-0.09,0.07,-0.02
2021-03-04 17:29:06.5980,-0.08,0.04,-0.01
2021-03-04 17:29:06.6080,-0.06,0.05,0
2021-03-04 17:29:06.6180,-0.04,0.05,-0.01
2021-03-04 17:29:06.6280,0,0.06,-0.01
2021-03-04 17:29:06.6380,0.03,0.03,-0.04
2021-03-04 17:29:06.6490,0.01,-0.06,-0.07
2021-03-04 17:29:06.6580,-0.02,-0.07,-0.09
2021-03-04 17:29:06.6780,0.01,-0.01,-0.08
2021-03-04 17:29:06.6800,0.06,0.03,-0.08
2021-03-04 17:29:06.6870,0.11,0.05,-0.09
2021-03-04 17:29:06.6970,0.13,0.06,-0.08
2021-03-04 17:29:06.7080,0.12,0.05,-0.06
2021-03-04 17:29:06.7170,0.09,0.04,-0.06
2021-03-04 17:29:06.7270,0.07,0.04,-0.04
2021-03-04 17:29:06.7380,0.05,0.01,-0.04
2021-03-04 17:29:06.7470,0.03,0,-0.04
2021-03-04 17:29:06.7580,0.02,0,-0.07
2021-03-04 17:29:06.7760,0.03,0.03,-0.09
2021-03-04 17:29:06.7780,0.03,0.06,-0.11
2021-03-04 17:29:06.7860,-0.03,0.07,-0.1
2021-03-04 17:29:06.7970,-0.14,0.09,-0.07
2021-03-04 17:29:06.8070,-0.23,0.12,-0.01
2021-03-04 17:29:06.8170,-0.3,0.14,0.05
2021-03-04 17:29:06.8270,-0.34,0.15,0.09
2021-03-04 17:29:06.8370,-0.38,0.14,0.11
2021-03-04 17:29:06.8470,-0.35,0.13,0.08
2021-03-04 17:29:06.8570,-0.27,0.11,0.05
2021-03-04 17:29:06.8760,-0.15,0.05,0
2021-03-04 17:29:06.8780,-0.02,0.01,-0.05
2021-03-04 17:29:06.8860,0.15,-0.06,-0.11
2021-03-04 17:29:06.8960,0.29,-0.09,-0.16
2021-03-04 17:29:06.9060,0.36,-0.1,-0.18
2021-03-04 17:29:06.9160,0.38,-0.08,-0.16
2021-03-04 17:29:06.9260,0.35,-0.05,-0.14
2021-03-04 17:29:06.9370,0.28,-0.01,-0.12
2021-03-04 17:29:06.9460,0.24,0.02,-0.1
2021-03-04 17:29:06.9570,0.22,0.02,-0.07
2021-03-04 17:29:06.9750,0.23,0.02,-0.06
2021-03-04 17:29:06.9770,0.24,0.05,-0.06
2021-03-04 17:29:06.9850,0.25,0.05,-0.05
2021-03-04 17:29:06.9950,0.24,0.06,-0.06
2021-03-04 17:29:07.0060,0.19,0.07,-0.07
2021-03-04 17:29:07.0150,0.13,0.05,-0.11
2021-03-04 17:29:07.0260,0.07,0.03,-0.11
2021-03-04 17:29:07.0350,0.04,0.03,-0.09
2021-03-04 17:29:07.0460,0.05,0.02,-0.07
2021-03-04 17:29:07.0550,0.05,0.02,-0.07
2021-03-04 17:29:07.0760,0.07,0.02,-0.05
2021-03-04 17:29:07.0790,0.04,0.03,-0.05
2021-03-04 17:29:07.0850,-0.01,0.03,-0.04
2021-03-04 17:29:07.0950,-0.11,0.04,-0.05
2021-03-04 17:29:07.1050,-0.19,0.03,-0.03
2021-03-04 17:29:07.1150,-0.21,0.05,0.01
2021-03-04 17:29:07.1240,-0.21,0.06,0.05
2021-03-04 17:29:07.1350,-0.19,0.06,0.05
2021-03-04 17:29:07.1450,-0.17,0.03,0.05
2021-03-04 17:29:07.1550,-0.16,0.04,0.04
2021-03-04 17:29:07.1760,-0.14,0.05,0.01
2021-03-04 17:29:07.1770,-0.14,0.06,0
2021-03-04 17:29:07.1840,-0.12,0.06,0
2021-03-04 17:29:07.1940,-0.13,0.03,0.02
2021-03-04 17:29:07.2040,-0.14,-0.02,0.06
2021-03-04 17:29:07.2140,-0.14,-0.05,0.1
2021-03-04 17:29:07.2240,-0.14,-0.04,0.12
2021-03-04 17:29:07.2340,-0.13,-0.02,0.11
2021-03-04 17:29:07.2450,-0.1,0.01,0.07
2021-03-04 17:29:07.2540,-0.06,0.06,0.02
2021-03-04 17:29:07.2730,-0.03,0.11,-0.02
2021-03-04 17:29:07.2750,0,0.13,-0.05
2021-03-04 17:29:07.2830,0.04,0.13,-0.07
2021-03-04 17:29:07.2930,0.07,0.09,-0.11
2021-03-04 17:29:07.3030,0.08,0.02,-0.1
2021-03-04 17:29:07.3130,0.08,-0.04,-0.06
2021-03-04 17:29:07.3230,0.06,-0.05,0.02
2021-03-04 17:29:07.3340,0.02,-0.05,0.08
2021-03-04 17:29:07.3440,0.01,-0.07,0.14
2021-03-04 17:29:07.3530,-0.03,-0.07,0.14
2021-03-04 17:29:07.3720,-0.05,-0.03,0.07
2021-03-04 17:29:07.3740,-0.06,0.05,-0.03
2021-03-04 17:29:07.3830,-0.07,0.1,-0.09
2021-03-04 17:29:07.3930,-0.07,0.11,-0.15
2021-03-04 17:29:07.4030,-0.05,0.13,-0.18
2021-03-04 17:29:07.4130,-0.02,0.15,-0.18
2021-03-04 17:29:07.4220,-0.02,0.13,-0.15
2021-03-04 17:29:07.4340,-0.01,0.08,-0.06
2021-03-04 17:29:07.4430,0,0.03,0.03
2021-03-04 17:29:07.4540,-0.01,-0.01,0.06
2021-03-04 17:29:07.4720,-0.06,0,0.09
2021-03-04 17:29:07.4740,-0.11,0,0.06
2021-03-04 17:29:07.4820,-0.13,-0.01,0.04
2021-03-04 17:29:07.4920,-0.07,0,0.02
